model,batch,residency_pct,precision,bw_gbps,e_union,bytes_per_layer,t_transfer_ms,t_compute_ms,compute_provenance,rho,required_bw_gbps_for_rho1
olmoe,8,12.5,fp16,128,36.654125,403563675.648,3.152841216,3.0387732036411763,measured_here,1.037537520806799,132.80480266327027
olmoe,8,25.0,fp16,16,36.654125,345911721.984,21.619482624000003,3.0387732036411763,measured_here,7.114542999818051,113.83268799708881
olmoe,8,25.0,fp16,32,36.654125,345911721.984,10.809741312000002,3.0387732036411763,measured_here,3.5572714999090254,113.83268799708881
olmoe,8,25.0,fp16,64,36.654125,345911721.984,5.404870656000001,3.0387732036411763,measured_here,1.7786357499545127,113.83268799708881
olmoe,8,25.0,fp16,128,36.654125,345911721.984,2.7024353280000004,3.0387732036411763,measured_here,0.8893178749772563,113.83268799708881
olmoe,8,37.5,fp16,16,36.654125,288259768.32000005,18.016235520000002,3.0387732036411763,measured_here,5.928785833181709,94.86057333090734
olmoe,8,37.5,fp16,32,36.654125,288259768.32000005,9.008117760000001,3.0387732036411763,measured_here,2.9643929165908545,94.86057333090734
olmoe,8,37.5,fp16,64,36.654125,288259768.32000005,4.5040588800000005,3.0387732036411763,measured_here,1.4821964582954272,94.86057333090734
olmoe,8,37.5,fp16,128,36.654125,288259768.32000005,2.2520294400000003,3.0387732036411763,measured_here,0.7410982291477136,94.86057333090734
olmoe,8,50.0,fp16,16,36.654125,230607814.65600002,14.412988416000001,3.0387732036411763,measured_here,4.743028666545367,75.88845866472587
olmoe,8,50.0,fp16,32,36.654125,230607814.65600002,7.2064942080000005,3.0387732036411763,measured_here,2.3715143332726836,75.88845866472587
olmoe,8,50.0,fp16,64,36.654125,230607814.65600002,3.6032471040000003,3.0387732036411763,measured_here,1.1857571666363418,75.88845866472587
olmoe,8,50.0,fp16,128,36.654125,230607814.65600002,1.8016235520000001,3.0387732036411763,measured_here,0.5928785833181709,75.88845866472587
olmoe,8,75.0,fp16,16,36.654125,115303907.32800001,7.2064942080000005,3.0387732036411763,measured_here,2.3715143332726836,37.94422933236294
olmoe,8,75.0,fp16,32,36.654125,115303907.32800001,3.6032471040000003,3.0387732036411763,measured_here,1.1857571666363418,37.94422933236294
olmoe,8,75.0,fp16,64,36.654125,115303907.32800001,1.8016235520000001,3.0387732036411763,measured_here,0.5928785833181709,37.94422933236294
olmoe,8,75.0,fp16,128,36.654125,115303907.32800001,0.9008117760000001,3.0387732036411763,measured_here,0.29643929165908545,37.94422933236294
olmoe,8,0.0,nf4,16,36.654125,118964806.385664,7.435300399104,3.0387732036411763,measured_here,2.446809913354091,39.14895861366546
olmoe,8,0.0,nf4,32,36.654125,118964806.385664,3.717650199552,3.0387732036411763,measured_here,1.2234049566770455,39.14895861366546
olmoe,8,0.0,nf4,64,36.654125,118964806.385664,1.858825099776,3.0387732036411763,measured_here,0.6117024783385228,39.14895861366546
olmoe,8,0.0,nf4,128,36.654125,118964806.385664,0.929412549888,3.0387732036411763,measured_here,0.3058512391692614,39.14895861366546
olmoe,8,12.5,nf4,16,36.654125,104094205.587456,6.505887849216,3.0387732036411763,measured_here,2.1409586741848297,34.255338786957275
olmoe,8,12.5,nf4,32,36.654125,104094205.587456,3.252943924608,3.0387732036411763,measured_here,1.0704793370924148,34.255338786957275
olmoe,8,12.5,nf4,64,36.654125,104094205.587456,1.626471962304,3.0387732036411763,measured_here,0.5352396685462074,34.255338786957275
olmoe,8,12.5,nf4,128,36.654125,104094205.587456,0.813235981152,3.0387732036411763,measured_here,0.2676198342731037,34.255338786957275
olmoe,8,25.0,nf4,16,36.654125,89223604.789248,5.576475299328,3.0387732036411763,measured_here,1.8351074350155683,29.361718960249092
olmoe,8,25.0,nf4,32,36.654125,89223604.789248,2.788237649664,3.0387732036411763,measured_here,0.9175537175077841,29.361718960249092
olmoe,8,25.0,nf4,64,36.654125,89223604.789248,1.394118824832,3.0387732036411763,measured_here,0.45877685875389207,29.361718960249092
olmoe,8,25.0,nf4,128,36.654125,89223604.789248,0.697059412416,3.0387732036411763,measured_here,0.22938842937694603,29.361718960249092
olmoe,8,37.5,nf4,16,36.654125,74353003.99104,4.64706274944,3.0387732036411763,measured_here,1.529256195846307,24.468099133540914
olmoe,8,37.5,nf4,32,36.654125,74353003.99104,2.32353137472,3.0387732036411763,measured_here,0.7646280979231534,24.468099133540914
olmoe,8,37.5,nf4,64,36.654125,74353003.99104,1.16176568736,3.0387732036411763,measured_here,0.3823140489615767,24.468099133540914
olmoe,8,37.5,nf4,128,36.654125,74353003.99104,0.58088284368,3.0387732036411763,measured_here,0.19115702448078836,24.468099133540914
olmoe,8,50.0,nf4,16,36.654125,59482403.192832,3.717650199552,3.0387732036411763,measured_here,1.2234049566770455,19.57447930683273
olmoe,8,50.0,nf4,32,36.654125,59482403.192832,1.858825099776,3.0387732036411763,measured_here,0.6117024783385228,19.57447930683273
olmoe,8,50.0,nf4,64,36.654125,59482403.192832,0.929412549888,3.0387732036411763,measured_here,0.3058512391692614,19.57447930683273
olmoe,8,50.0,nf4,128,36.654125,59482403.192832,0.464706274944,3.0387732036411763,measured_here,0.1529256195846307,19.57447930683273
olmoe,8,75.0,nf4,16,36.654125,29741201.596416,1.858825099776,3.0387732036411763,measured_here,0.6117024783385228,9.787239653416364
olmoe,8,75.0,nf4,32,36.654125,29741201.596416,0.929412549888,3.0387732036411763,measured_here,0.3058512391692614,9.787239653416364
olmoe,8,75.0,nf4,64,36.654125,29741201.596416,0.464706274944,3.0387732036411763,measured_here,0.1529256195846307,9.787239653416364
olmoe,8,75.0,nf4,128,36.654125,29741201.596416,0.232353137472,3.0387732036411763,measured_here,0.07646280979231534,9.787239653416364
olmoe,32,0.0,fp16,16,58.734,739044753.408,46.190297088,3.0997449971735476,measured_here,14.901321602298859,238.42114563678174
olmoe,32,0.0,fp16,32,58.734,739044753.408,23.095148544,3.0997449971735476,measured_here,7.4506608011494295,238.42114563678174
olmoe,32,0.0,fp16,64,58.734,739044753.408,11.547574272,3.0997449971735476,measured_here,3.7253304005747148,238.42114563678174
olmoe,32,0.0,fp16,128,58.734,739044753.408,5.773787136,3.0997449971735476,measured_here,1.8626652002873574,238.42114563678174
olmoe,32,12.5,fp16,16,58.734,646664159.232,40.416509952000006,3.0997449971735476,measured_here,13.038656402011503,208.61850243218402
